14	0	7	25	15	21	53
1003	0	7	25	15	22	49
24	0	7	25	15	22	54
1004	0	7	25	15	22	56
1003	0	7	25	15	22	58
1003	0	7	26	16	22	21
24	0	7	26	16	22	25
1003	0	7	29	9	8	30
24	0	7	29	9	8	33
1004	0	7	29	9	8	35
1003	0	7	29	9	11	56
24	0	7	29	9	12	1
1004	0	7	29	9	12	4
1003	0	9	23	16	44	28
24	0	9	23	16	44	32
1004	0	9	23	16	44	36
61	0	9	23	16	44	37
1003	0	9	23	16	44	38
24	0	9	23	16	44	39
1004	0	9	23	16	44	40
61	0	9	23	16	44	40
1003	0	9	23	16	44	42
1003	0	11	6	16	31	54
24	0	11	6	16	32	2
1004	0	11	6	16	32	5
61	0	11	6	16	32	7
1003	0	11	6	16	32	50
1003	0	11	6	16	33	12
27	0	1	15	22	5	28
1000	0	1	15	22	6	8
1003	0	1	18	22	30	57
27	0	1	27	10	4	24
27	0	1	27	10	8	31
27	0	1	27	10	10	2
1000	02	04	20	07	57	
  27	02	10	21	23	30	
  27	02	10	21	26	54	
1000	02	11	14	40	49	
1000	02	11	18	01	29	
1000	02	13	11	51	05	
  27	02	13	13	10	38	
1000	02	17	16	54	13	
  18	02	18	19	55	07	
  18	02	18	19	55	29	
  18	02	18	19	56	40	
  18	02	18	19	58	25	
1000	02	19	20	38	21	
1000	02	19	20	38	49	
 100	   0	04	05	11	36	21	
 100	   0	04	05	11	36	29	
 100	   0	04	05	11	47	04	
 100	   0	04	05	11	47	35	
 100	   0	04	05	11	55	34	
 100	   0	04	05	11	56	19	
 100	   0	04	05	11	56	42	
 100	   0	04	05	11	56	51	
 100	   0	04	05	13	27	38	
 100	   0	04	05	13	27	51	
 103	   0	04	05	13	28	59	
 103	   0	04	05	13	29	14	
  21	   0	04	05	13	31	13	
  21	   0	04	05	13	31	29	
  21	   1	04	05	13	38	08	
  12	   3	04	05	13	39	26	
  21	   1	04	05	13	42	10	
  21	   1	04	05	13	43	08	
  21	   1	04	05	13	49	25	
  21	   1	04	05	13	51	41	
 100	   1	04	05	13	52	21	
  21	   1	04	05	14	00	01	
  22	   0	04	05	14	01	34	
 201	   0	04	05	14	22	53	
 200	   0	04	05	15	14	45	
  12	   3	04	06	11	51	31	
  12	   3	04	06	11	52	36	
 100	   1	04	06	11	52	46	
